date,cases_cum_clarke,new_cases_clarke,7_day_ave_clarke,cases_per_100000_clarke
3/14/2020,0,,,0
3/15/2020,2,2,,1.6
3/16/2020,3,1,,2.4
3/17/2020,3,0,,2.4
3/18/2020,5,2,,3.9
3/19/2020,8,3,,6.3
3/20/2020,10,2,,7.9
3/21/2020,9,-1,,7.1
3/22/2020,10,1,,7.9
3/23/2020,14,4,,11
3/24/2020,17,3,2,13.4
3/25/2020,19,2,2,14.9
3/26/2020,24,5,2,18.8
3/27/2020,32,8,3,25.1
3/28/2020,35,3,4,27.5
3/29/2020,35,0,4,27.5
3/30/2020,41,6,4,32.2
3/31/2020,50,9,5,39.3
4/1/2020,51,1,5,40.1
4/2/2020,54,3,4,42.4
4/3/2020,57,3,4,44.8
4/4/2020,60,3,4,47.1
4/5/2020,62,2,4,48.7
4/6/2020,69,7,4,54.2
4/7/2020,77,8,4,60.5
4/8/2020,81,4,4,63.6
4/9/2020,81,0,4,63.6
4/10/2020,81,0,3,63.6
4/11/2020,82,1,3,64.4
4/12/2020,83,1,3,65.2
4/13/2020,85,2,2,66.8
4/14/2020,95,10,3,74.6
4/15/2020,98,3,2,77
4/16/2020,102,4,3,80.1
4/17/2020,106,4,4,83.2
4/18/2020,106,0,3,83.2
4/19/2020,108,2,4,84.8
4/20/2020,110,2,4,86.4
4/21/2020,114,4,3,89.5
4/22/2020,116,2,3,91.1
4/23/2020,119,3,2,93.5
4/24/2020,120,1,2,94.2
4/25/2020,122,2,2,95.8
4/26/2020,123,1,2,96.6
4/27/2020,127,4,2,99.7
4/28/2020,143,16,4,112.3
4/29/2020,143,0,4,112.3
4/30/2020,147,4,4,115.4
5/1/2020,151,4,4,118.6
5/2/2020,156,5,5,122.5
5/3/2020,156,0,5,122.5
5/4/2020,159,3,5,124.9
5/5/2020,161,2,3,126.4
5/6/2020,174,13,4,136.7
5/7/2020,174,0,4,136.7
5/8/2020,178,4,4,139.8
5/9/2020,181,3,4,142.2
5/10/2020,186,5,4,146.1
5/11/2020,188,2,4,147.6
5/12/2020,188,0,4,147.6
5/13/2020,190,2,2,149.2
5/14/2020,191,1,2,150
5/15/2020,193,2,2,151.6
5/16/2020,194,1,2,152.4
5/17/2020,194,0,1,152.4
5/18/2020,194,0,1,152.4
5/19/2020,200,6,2,157.1
5/20/2020,200,0,1,157.1
5/21/2020,205,5,2,161
5/22/2020,212,7,3,166.5
5/23/2020,220,8,4,172.8
5/24/2020,224,4,4,175.9
5/25/2020,226,2,5,177.5
5/26/2020,234,8,5,183.8
5/27/2020,259,25,8,203.4
5/28/2020,266,7,9,208.9
5/29/2020,275,9,9,216
5/30/2020,282,7,9,221.5
5/31/2020,283,1,8,222.3
6/1/2020,289,6,9,227
6/2/2020,293,4,8,230.1
6/3/2020,296,3,5,232.5
6/4/2020,299,3,5,234.8
6/5/2020,315,16,6,247.4
6/6/2020,318,3,5,249.7
6/7/2020,321,3,5,252.1
6/8/2020,325,4,5,255.2
6/9/2020,328,3,5,257.6
6/10/2020,330,2,5,259.2
6/11/2020,332,2,5,260.7
6/12/2020,338,6,3,265.5
6/13/2020,341,3,3,267.8
6/14/2020,342,1,3,268.6
6/15/2020,347,5,3,272.5
6/16/2020,353,6,4,277.2
6/17/2020,361,8,4,283.5
6/18/2020,363,2,4,285.1
6/19/2020,374,11,5,293.7
6/20/2020,376,2,5,295.3
6/21/2020,381,5,6,299.2
6/22/2020,391,10,6,307.1
6/23/2020,408,17,8,320.4
6/24/2020,419,11,8,329.1
6/25/2020,441,22,11,346.3
6/26/2020,463,22,13,363.6
6/27/2020,481,18,15,377.8
6/28/2020,485,4,15,380.9
6/29/2020,490,5,14,384.8
6/30/2020,531,41,18,417
7/1/2020,574,43,22,450.8
7/2/2020,607,33,24,476.7
7/3/2020,661,54,28,519.1
7/4/2020,690,29,30,541.9
7/5/2020,714,24,33,560.7
7/6/2020,738,24,35,579.6
7/7/2020,775,37,35,608.7
7/8/2020,804,29,33,631.4
7/9/2020,841,37,33,660.5
7/10/2020,897,56,34,704.5
7/11/2020,925,28,34,726.5
7/12/2020,939,14,32,737.5
7/13/2020,977,38,34,767.3
7/14/2020,1007,30,33,790.9
7/15/2020,1045,38,34,820.7
7/16/2020,1087,42,35,853.7
7/17/2020,1140,53,35,895.3
7/18/2020,1205,65,40,946.4
7/19/2020,1238,33,43,972.3
7/20/2020,1255,17,40,985.6
7/21/2020,1286,31,40,1010
7/22/2020,1306,20,37,1025.7
7/23/2020,1356,50,38,1064.9
7/24/2020,1396,40,37,1096.4
7/25/2020,1439,43,33,1130.1
7/26/2020,1457,18,31,1144.3
7/27/2020,1475,18,31,1158.4
7/28/2020,1507,32,32,1183.5
7/29/2020,1557,50,36,1222.8
7/30/2020,1591,34,34,1249.5
7/31/2020,1665,74,38,1307.6
8/1/2020,1694,29,36,1330.4
8/2/2020,1717,23,37,1348.5
8/3/2020,1741,24,38,1367.3
8/4/2020,1794,53,41,1408.9
8/5/2020,1863,69,44,1463.1
8/6/2020,1894,31,43,1487.5
8/7/2020,1968,74,43,1545.6
8/8/2020,2027,59,48,1591.9
8/9/2020,2047,20,47,1607.6
8/10/2020,2081,34,49,1634.3
8/11/2020,2117,36,46,1662.6
8/12/2020,2150,33,41,1688.5
8/13/2020,2166,16,39,1701.1
8/14/2020,2209,43,34,1734.9
8/15/2020,2238,29,30,1757.6
8/16/2020,2250,12,29,1767.1
8/17/2020,2264,14,26,1778.1
8/18/2020,2305,41,27,1810.3
8/19/2020,2341,36,27,1838.5
8/20/2020,2372,31,29,1862.9
8/21/2020,2422,50,30,1902.1
8/22/2020,2473,51,34,1942.2
